Origen,Destino,Tipo Viaje,Distancia (Km),Tiempo vuelo, Costo vuelo ,Tiempo espera, Cuota Aeropuerto , Impuesto ,Tiempo Aduana,Tiempo total (Hrs),Descuento, Costo total ,,,,,
La Comarca,Rivendel,N,500,1,"$1,250.00",0.5,$200.00,$100.00,0,1.5,0,"$1,550.00",,,,,
Rivendel,La Comarca,N,500,1,"$1,250.00",0.5,$500.00,$100.00,0,1.5,0,"$1,850.00",,,,,
Rivendel,Reino del Bosque,N,950,1.9,"$2,375.00",0.5,$500.00, $-   ,0,2.4,$475.00,"$2,400.00",,,,,
Rivendel,Rohan,N,550,1.1,"$1,375.00",0.5,$500.00,$100.00,0,1.6,0,"$1,975.00",,,,,
Rivendel,Telmar,I,"1,100.00",2.2,"$2,750.00",2,$500.00,$500.00,1,5.2,0,"$3,750.00",,,,,
Rohan,Rivendel,N,550,1.1,"$1,375.00",0.5,$200.00,$100.00,0,1.6,0,"$1,675.00",,,,,
Rohan,Isengard,N,400,0.8,"$1,000.00",0.5,$200.00,$100.00,0,1.3,0,"$1,300.00",,,,,
Rohan,Gondor,N,600,1.2,"$1,500.00",0.5,$200.00, $-   ,0,1.7,$150.00,"$1,550.00",,,,,
Gondor,Rohan,N,600,1.2,"$1,500.00",0.5,"$1,000.00", $-   ,0,1.7,$150.00,"$2,350.00",,,,,
Gondor,Erebor,N,"1,250.00",2.5,"$3,125.00",0.5,"$1,000.00",$100.00,0,3,0,"$4,225.00",,,,,
Gondor,Mordor,N,450,0.9,"$1,125.00",0.5,"$1,000.00","$1,000.00",2,3.4,0,"$3,125.00",,,,,
Gondor,Narnia,I,550,1.1,"$1,375.00",2,$100.00,$500.00,1,4.1,0,"$1,975.00",,,,,
Gondor,Ciudad Esmeralda,I,"1,100.00",2.2,"$2,750.00",2,"$1,000.00",$500.00,1,5.2,0,"$4,250.00",,,,,
Mordor,Isengard,N,550,1.1,"$1,375.00",0.5, $-   , $-   ,0,1.6,0,"$1,375.00",,,,,
Mordor,Winkie,I,600,1.2,"$1,500.00",2, $-   , $-   ,0,3.2,0,"$1,500.00",,,,,
Isengard,Rohan,N,400,0.8,"$1,000.00",0.5,$100.00,$200.00,0,1.3,0,"$1,300.00",,,,,
Isengard,Moria,N,400,0.8,"$1,000.00",0.5,$100.00, $-   ,0,1.3,0,"$1,100.00",,,,,
Moria,Isengard,N,400,0.8,"$1,000.00",0.5,$200.00,$100.00,0,1.3,0,"$1,300.00",,,,,
Moria,Erebor,N,900,1.8,"$2,250.00",0.5,$200.00, $-   ,0,2.3,$225.00,"$2,225.00",,,,,
Erebor,Moria,N,900,1.8,"$2,250.00",0.5,$200.00, $-   ,0,2.3,$450.00,"$2,000.00",,,,,
Erebor,Gondor,N,"1,250.00",2.5,"$3,125.00",0.5,$200.00,$200.00,0,3,0,"$3,525.00",,,,,
Reino del Bosque,Erebor,N,500,1,"$1,250.00",0.5,$200.00,"$1,000.00",3,4.5,0,"$2,450.00",,,,,
Reino del Bosque,Rivendel,N,950,1.9,"$2,375.00",0.5,$200.00, $-   ,0,2.4,$475.00,"$2,100.00",,,,,
Narnia,Telmar,N,400,0.8,"$1,000.00",0.5,"$1,000.00", $-   ,0,1.3,$200.00,"$1,800.00",,,,,
Narnia,Charn,N,450,0.9,"$1,125.00",0.5,"$1,000.00","$1,000.00",2,3.4,0,"$3,125.00",,,,,
Narnia,Gondor,I,550,1.1,"$1,375.00",2,"$1,000.00",$500.00,1,4.1,0,"$2,875.00",,,,,
Narnia,Ciudad Esmeralda,I,"1,300.00",2.6,"$3,250.00",2,"$1,000.00",$500.00,1,5.6,0,"$4,750.00",,,,,
Telmar,Narnia,N,400,0.8,"$1,000.00",0.5,$500.00,$100.00,0,1.3,$100.00,"$1,500.00",,,,,
Telmar,Rivendel,I,"1,100.00",2.2,"$2,750.00",2,$500.00,$500.00,1,5.2,0,"$3,750.00",,,,,
Charn,Narnia,N,450,0.9,"$1,125.00",0.5, $-   ,$100.00,2,3.4,0,"$1,225.00",,,,,
Charn,Winkie,I,700,1.4,"$1,750.00",2, $-   , $-   ,0,3.4,$875.00,$875.00,,,,,
Ciudad Esmeralda,Munchkin,N,200,0.4,$500.00,0.5,"$1,000.00",$100.00,0,0.9,0,"$1,600.00",,,,,
Ciudad Esmeralda,Winkie,N,300,0.6,$750.00,0.5,"$1,000.00",$500.00,2,3.1,0,"$2,250.00",,,,,
Ciudad Esmeralda,Gondor,I,"1,100.00",2.2,"$2,750.00",2,"$1,000.00",$500.00,1,5.2,0,"$4,250.00",,,,,
Ciudad Esmeralda,Narnia,I,"1,300.00",2.6,"$3,250.00",2,"$1,000.00",$500.00,1,5.6,0,"$4,750.00",,,,,
Winkie,Ciudad Esmeralda,N,300,0.6,$750.00,0.5,$200.00,"$1,000.00",1,2.1,0,"$1,950.00",,,,,
Winkie,Mordor,I,600,1.2,"$1,500.00",2, $-   , $-   ,0,3.2,$750.00,$750.00,,,,,
Winkie,Charn,I,700,1.4,"$1,750.00",2, $-   , $-   ,0,3.4,$875.00,$875.00,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
* Tipo de viaje (N=Nacional / I =Internacional),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Origen,Destino,Tipo Viaje,Distancia (Km),Tiempo total (Hrs), Costo total ,,,,,,,,,,,,
La Comarca,Rivendel,N,500,1.5,"$1,550.00",,,,,,,,,,,,
Rivendel,La Comarca,N,500,1.5,"$1,850.00",,,,,,,,,,,,
Rivendel,Reino del Bosque,N,950,2.4,"$2,400.00",,,,,,,,,,,,
Rivendel,Rohan,N,550,1.6,"$1,975.00",,,,,,,,,,,,
Rivendel,Telmar,I,"1,100.00",5.2,"$3,750.00",,,,,,,,,,,,
Rohan,Rivendel,N,550,1.6,"$1,675.00",,,,,,,,,,,,
Rohan,Isengard,N,400,1.3,"$1,300.00",,,,,,,,,,,,
Rohan,Gondor,N,600,1.7,"$1,550.00",,,,,,,,,,,,
Gondor,Rohan,N,600,1.7,"$2,350.00",,,,,,,,,,,,
Gondor,Erebor,N,"1,250.00",3,"$4,225.00",,,,,,,,,,,,
Gondor,Mordor,N,450,3.4,"$3,125.00",,,,,,,,,,,,
Gondor,Narnia,I,550,4.1,"$1,975.00",,,,,,,,,,,,
Gondor,Ciudad Esmeralda,I,"1,100.00",5.2,"$4,250.00",,,,,,,,,,,,
Mordor,Isengard,N,550,1.6,"$1,375.00",,,,,,,,,,,,
Mordor,Winkie,I,600,3.2,"$1,500.00",,,,,,,,,,,,
Isengard,Rohan,N,400,1.3,"$1,300.00",,,,,,,,,,,,
Isengard,Moria,N,400,1.3,"$1,100.00",,,,,,,,,,,,
Moria,Isengard,N,400,1.3,"$1,300.00",,,,,,,,,,,,
Moria,Erebor,N,900,2.3,"$2,225.00",,,,,,,,,,,,
Erebor,Moria,N,900,2.3,"$2,000.00",,,,,,,,,,,,
Erebor,Gondor,N,"1,250.00",3,"$3,525.00",,,,,,,,,,,,
Reino del Bosque,Erebor,N,500,4.5,"$2,450.00",,,,,,,,,,,,
Reino del Bosque,Rivendel,N,950,2.4,"$2,100.00",,,,,,,,,,,,
Narnia,Telmar,N,400,1.3,"$1,800.00",,,,,,,,,,,,
Narnia,Charn,N,450,3.4,"$3,125.00",,,,,,,,,,,,
Narnia,Gondor,I,550,4.1,"$2,875.00",,,,,,,,,,,,
Narnia,Ciudad Esmeralda,I,"1,300.00",5.6,"$4,750.00",,,,,,,,,,,,
Telmar,Narnia,N,400,1.3,"$1,500.00",,,,,,,,,,,,
Telmar,Rivendel,I,"1,100.00",5.2,"$3,750.00",,,,,,,,,,,,
Charn,Narnia,N,450,3.4,"$1,225.00",,,,,,,,,,,,
Charn,Winkie,I,700,3.4,$875.00,,,,,,,,,,,,
Ciudad Esmeralda,Munchkin,N,200,0.9,"$1,600.00",,,,,,,,,,,,
Ciudad Esmeralda,Winkie,N,300,3.1,"$2,250.00",,,,,,,,,,,,
Ciudad Esmeralda,Gondor,I,"1,100.00",5.2,"$4,250.00",,,,,,,,,,,,
Ciudad Esmeralda,Narnia,I,"1,300.00",5.6,"$4,750.00",,,,,,,,,,,,
Winkie,Ciudad Esmeralda,N,300,2.1,"$1,950.00",,,,,,,,,,,,
Winkie,Mordor,I,600,3.2,$750.00,,,,,,,,,,,,
Winkie,Charn,I,700,3.4,$875.00,,,,,,,,,,,,
